task,subject,session,echo,datatype,filename
hand,sub-10,ses-02,4,bold.nii.gz,sub-10_ses-02_task-hand_echo-4_bold.nii.gz
hand,sub-24,ses-04,2,bold.nii.gz,sub-24_ses-04_task-hand_echo-2_bold.nii.gz
hand,sub-14,ses-02,2,bold.json,sub-14_ses-02_task-hand_echo-2_bold.json
hand,sub-10,ses-01,2,sbref.json,sub-10_ses-01_task-hand_echo-2_sbref.json
hand,sub-10,ses-01,1,bold.nii.gz,sub-10_ses-01_task-hand_echo-1_bold.nii.gz
hand,sub-01,ses-01,5,phasediff.nii.gz,sub-01_ses-01_task-hand_echo-5_phasediff.nii.gz
hand,sub-02,ses-04,2,phasediff.nii.gz,sub-02_ses-04_task-hand_echo-2_phasediff.nii.gz
hand,sub-10,ses-01,1,phasediff.json,sub-10_ses-01_task-hand_echo-1_phasediff.json
hand,sub-18,ses-02,2,phasediff.nii.gz,sub-18_ses-02_task-hand_echo-2_phasediff.nii.gz
hand,sub-05,ses-02,2,bold.nii.gz,sub-05_ses-02_task-hand_echo-2_bold.nii.gz
hand,sub-10,ses-02,4,phasediff.json,sub-10_ses-02_task-hand_echo-4_phasediff.json
hand,sub-04,ses-02,3,bold.json,sub-04_ses-02_task-hand_echo-3_bold.json
hand,sub-10,ses-02,1,bold.json,sub-10_ses-02_task-hand_echo-1_bold.json
hand,sub-03,ses-03,1,sbref.json,sub-03_ses-03_task-hand_echo-1_sbref.json
hand,sub-26,ses-01,5,bold.nii.gz,sub-26_ses-01_task-hand_echo-5_bold.nii.gz
hand,sub-10,ses-03,3,sbref.json,sub-10_ses-03_task-hand_echo-3_sbref.json
hand,sub-20,ses-02,4,phasediff.nii.gz,sub-20_ses-02_task-hand_echo-4_phasediff.nii.gz
hand,sub-17,ses-03,2,phasediff.nii.gz,sub-17_ses-03_task-hand_echo-2_phasediff.nii.gz
hand,sub-20,ses-03,5,bold.json,sub-20_ses-03_task-hand_echo-5_bold.json
hand,sub-22,ses-04,5,bold.json,sub-22_ses-04_task-hand_echo-5_bold.json
hand,sub-09,ses-01,5,phasediff.json,sub-09_ses-01_task-hand_echo-5_phasediff.json
hand,sub-08,ses-04,5,phasediff.nii.gz,sub-08_ses-04_task-hand_echo-5_phasediff.nii.gz
hand,sub-18,ses-04,5,bold.nii.gz,sub-18_ses-04_task-hand_echo-5_bold.nii.gz
