Subject,Session,X,Y,Z,Volumes,Voxel X,Voxel Y,Voxel Z,TR,Echo Time,Echo Number,Flip Angle,Slice Thickness,Phase Encoding,Manufacturer,Scanner Model,Magnetic Field,BOLD Path,JSON Path,Status
sub-17,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-02/sub-17_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-02/sub-17_ses-02_task-hand_echo-1_bold.json,Ready
sub-17,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-04/sub-17_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-04/sub-17_ses-04_task-hand_echo-1_bold.json,Ready
sub-17,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-01/sub-17_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-17/ses-01/sub-17_ses-01_task-hand_echo-1_bold.json,Ready
sub-10,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-02/sub-10_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-02/sub-10_ses-02_task-hand_echo-1_bold.json,Ready
sub-10,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-04/sub-10_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-04/sub-10_ses-04_task-hand_echo-1_bold.json,Ready
sub-10,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-03/sub-10_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-03/sub-10_ses-03_task-hand_echo-1_bold.json,Ready
sub-10,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-01/sub-10_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-10/ses-01/sub-10_ses-01_task-hand_echo-1_bold.json,Ready
sub-26,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-04/sub-26_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-04/sub-26_ses-04_task-hand_echo-1_bold.json,Ready
sub-26,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-03/sub-26_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-03/sub-26_ses-03_task-hand_echo-1_bold.json,Ready
sub-26,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-01/sub-26_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-26/ses-01/sub-26_ses-01_task-hand_echo-1_bold.json,Ready
